observed_quality,target,n_aa_substitutions,observed,predicted,abs_error,model,split_label,beta_l1_coefficients,data_path,seed,epochs,independent_starts,exp_target,model_string,patience,learning_rate,batch_size,prefix,loss_fn,include_details
2,prob_escape,1,0.05401581,0.010144818,0.05019423,Escape,test,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.12887461,0.050634515,0.104428284,Escape,test,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.2326964,0.14883636,0.16697763,Escape,test,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.38497818,0.3374612,0.2149272,Escape,test,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,5,0.5359276,0.554621,0.22428462,Escape,test,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,6,0.6783482,0.73850054,0.1940191,Escape,test,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,7,0.79124314,0.85367024,0.14324886,Escape,test,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,8,0.8850492,0.93095,0.09009258,Escape,test,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,1,0.055612,0.009456287,0.05179975,Escape,val,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.13003848,0.051086698,0.107925236,Escape,val,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.24795026,0.16574344,0.17248803,Escape,val,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.3963224,0.35135368,0.21478744,Escape,val,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,5,0.54492295,0.5606844,0.21885078,Escape,val,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,6,0.6668997,0.7279754,0.19602536,Escape,val,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,7,0.7830154,0.85382,0.14961731,Escape,val,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,8,0.88334835,0.93391734,0.08835339,Escape,val,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,1,0.053806372,0.009037224,0.050623603,Escape,train,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.12576012,0.048849557,0.10423376,Escape,train,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.24148926,0.15998511,0.16764084,Escape,train,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.38407952,0.34316576,0.21294202,Escape,train,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,5,0.53601676,0.55844516,0.21949616,Escape,train,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,6,0.67861277,0.7374066,0.18719342,Escape,train,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,7,0.7930338,0.85622644,0.13764101,Escape,train,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,8,0.86914605,0.91453344,0.09178768,Escape,train,0.0,prepped_avg4muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
